,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
122227,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,46000000.0,600000.0,0.112,0.022,0.0,0.0,Other,"A.Hermanne,ET.AL. (15)   ",D4324,11,No Pointer,76,"76-OS-0(P,X)76-OS-185,IND,SIG",Excitation functions of proton induced reactions on natOs up to 65 MeV: Experiments and comparison with results from theoretical codes,2015,A.Hermanne+,2BLGVUB,2015/03/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.345, p.58, 2015",D4324011,D4324,"(J,NIM/B,345,58,2015)",1,1,0,190Os,Os,114,190,N,7.186121348681038,0.1113257014713277,Other,-37551.478,0.6545000000000001,7956.336,0.003,-820.3285000000001,1.177,190230000.0,0.7020000000000001,13632.12,0.345,14986.745,21.55,1229.855,1.1749999999999998,-1049.135,2.235,-9840.525,39.895,-8021.23,6.885,6775.535,0.15,8033.014999999999,39.505,-6570.18,19.105,11657.255,4.324999999999999,7429.22,0.49,7380.815,2.105,-8033.014999999999,-6775.535,-14413.8389,-12189.2729,-12384.6449,-13196.8044,-14986.745,-13632.12,1229.855,-1602.675,-8033.014999999999,-6775.535,-4550.969,-8803.5765,-5150.325099999998,-6695.798500000003,-9058.1785,-8033.014999999999,-5808.4490000000005,-6775.535,-5932.0439000000015,-7268.7046,-518.3059999999997,-2539.5406000000003,-838.9205,13802.0844,11780.8499
122228,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,44100000.0,600000.0,0.085,0.017,0.0,0.0,Other,"A.Hermanne,ET.AL. (15)   ",D4324,11,No Pointer,76,"76-OS-0(P,X)76-OS-185,IND,SIG",Excitation functions of proton induced reactions on natOs up to 65 MeV: Experiments and comparison with results from theoretical codes,2015,A.Hermanne+,2BLGVUB,2015/03/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.345, p.58, 2015",D4324011,D4324,"(J,NIM/B,345,58,2015)",1,1,0,190Os,Os,114,190,N,7.186121348681038,0.1113257014713277,Other,-37551.478,0.6545000000000001,7956.336,0.003,-820.3285000000001,1.177,190230000.0,0.7020000000000001,13632.12,0.345,14986.745,21.55,1229.855,1.1749999999999998,-1049.135,2.235,-9840.525,39.895,-8021.23,6.885,6775.535,0.15,8033.014999999999,39.505,-6570.18,19.105,11657.255,4.324999999999999,7429.22,0.49,7380.815,2.105,-8033.014999999999,-6775.535,-14413.8389,-12189.2729,-12384.6449,-13196.8044,-14986.745,-13632.12,1229.855,-1602.675,-8033.014999999999,-6775.535,-4550.969,-8803.5765,-5150.325099999998,-6695.798500000003,-9058.1785,-8033.014999999999,-5808.4490000000005,-6775.535,-5932.0439000000015,-7268.7046,-518.3059999999997,-2539.5406000000003,-838.9205,13802.0844,11780.8499
122229,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,42100000.0,700000.0,0.081,0.016,0.0,0.0,Other,"A.Hermanne,ET.AL. (15)   ",D4324,11,No Pointer,76,"76-OS-0(P,X)76-OS-185,IND,SIG",Excitation functions of proton induced reactions on natOs up to 65 MeV: Experiments and comparison with results from theoretical codes,2015,A.Hermanne+,2BLGVUB,2015/03/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.345, p.58, 2015",D4324011,D4324,"(J,NIM/B,345,58,2015)",1,1,0,190Os,Os,114,190,N,7.186121348681038,0.1113257014713277,Other,-37551.478,0.6545000000000001,7956.336,0.003,-820.3285000000001,1.177,190230000.0,0.7020000000000001,13632.12,0.345,14986.745,21.55,1229.855,1.1749999999999998,-1049.135,2.235,-9840.525,39.895,-8021.23,6.885,6775.535,0.15,8033.014999999999,39.505,-6570.18,19.105,11657.255,4.324999999999999,7429.22,0.49,7380.815,2.105,-8033.014999999999,-6775.535,-14413.8389,-12189.2729,-12384.6449,-13196.8044,-14986.745,-13632.12,1229.855,-1602.675,-8033.014999999999,-6775.535,-4550.969,-8803.5765,-5150.325099999998,-6695.798500000003,-9058.1785,-8033.014999999999,-5808.4490000000005,-6775.535,-5932.0439000000015,-7268.7046,-518.3059999999997,-2539.5406000000003,-838.9205,13802.0844,11780.8499
122230,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,40000000.0,700000.0,0.131,0.026,0.0,0.0,Other,"A.Hermanne,ET.AL. (15)   ",D4324,11,No Pointer,76,"76-OS-0(P,X)76-OS-185,IND,SIG",Excitation functions of proton induced reactions on natOs up to 65 MeV: Experiments and comparison with results from theoretical codes,2015,A.Hermanne+,2BLGVUB,2015/03/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.345, p.58, 2015",D4324011,D4324,"(J,NIM/B,345,58,2015)",1,1,0,190Os,Os,114,190,N,7.186121348681038,0.1113257014713277,Other,-37551.478,0.6545000000000001,7956.336,0.003,-820.3285000000001,1.177,190230000.0,0.7020000000000001,13632.12,0.345,14986.745,21.55,1229.855,1.1749999999999998,-1049.135,2.235,-9840.525,39.895,-8021.23,6.885,6775.535,0.15,8033.014999999999,39.505,-6570.18,19.105,11657.255,4.324999999999999,7429.22,0.49,7380.815,2.105,-8033.014999999999,-6775.535,-14413.8389,-12189.2729,-12384.6449,-13196.8044,-14986.745,-13632.12,1229.855,-1602.675,-8033.014999999999,-6775.535,-4550.969,-8803.5765,-5150.325099999998,-6695.798500000003,-9058.1785,-8033.014999999999,-5808.4490000000005,-6775.535,-5932.0439000000015,-7268.7046,-518.3059999999997,-2539.5406000000003,-838.9205,13802.0844,11780.8499
122231,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,37800000.0,800000.0,0.088,0.018,0.0,0.0,Other,"A.Hermanne,ET.AL. (15)   ",D4324,11,No Pointer,76,"76-OS-0(P,X)76-OS-185,IND,SIG",Excitation functions of proton induced reactions on natOs up to 65 MeV: Experiments and comparison with results from theoretical codes,2015,A.Hermanne+,2BLGVUB,2015/03/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.345, p.58, 2015",D4324011,D4324,"(J,NIM/B,345,58,2015)",1,1,0,190Os,Os,114,190,N,7.186121348681038,0.1113257014713277,Other,-37551.478,0.6545000000000001,7956.336,0.003,-820.3285000000001,1.177,190230000.0,0.7020000000000001,13632.12,0.345,14986.745,21.55,1229.855,1.1749999999999998,-1049.135,2.235,-9840.525,39.895,-8021.23,6.885,6775.535,0.15,8033.014999999999,39.505,-6570.18,19.105,11657.255,4.324999999999999,7429.22,0.49,7380.815,2.105,-8033.014999999999,-6775.535,-14413.8389,-12189.2729,-12384.6449,-13196.8044,-14986.745,-13632.12,1229.855,-1602.675,-8033.014999999999,-6775.535,-4550.969,-8803.5765,-5150.325099999998,-6695.798500000003,-9058.1785,-8033.014999999999,-5808.4490000000005,-6775.535,-5932.0439000000015,-7268.7046,-518.3059999999997,-2539.5406000000003,-838.9205,13802.0844,11780.8499
122232,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,35500000.0,900000.0,0.054,0.011,0.0,0.0,Other,"A.Hermanne,ET.AL. (15)   ",D4324,11,No Pointer,76,"76-OS-0(P,X)76-OS-185,IND,SIG",Excitation functions of proton induced reactions on natOs up to 65 MeV: Experiments and comparison with results from theoretical codes,2015,A.Hermanne+,2BLGVUB,2015/03/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.345, p.58, 2015",D4324011,D4324,"(J,NIM/B,345,58,2015)",1,1,0,190Os,Os,114,190,N,7.186121348681038,0.1113257014713277,Other,-37551.478,0.6545000000000001,7956.336,0.003,-820.3285000000001,1.177,190230000.0,0.7020000000000001,13632.12,0.345,14986.745,21.55,1229.855,1.1749999999999998,-1049.135,2.235,-9840.525,39.895,-8021.23,6.885,6775.535,0.15,8033.014999999999,39.505,-6570.18,19.105,11657.255,4.324999999999999,7429.22,0.49,7380.815,2.105,-8033.014999999999,-6775.535,-14413.8389,-12189.2729,-12384.6449,-13196.8044,-14986.745,-13632.12,1229.855,-1602.675,-8033.014999999999,-6775.535,-4550.969,-8803.5765,-5150.325099999998,-6695.798500000003,-9058.1785,-8033.014999999999,-5808.4490000000005,-6775.535,-5932.0439000000015,-7268.7046,-518.3059999999997,-2539.5406000000003,-838.9205,13802.0844,11780.8499
122233,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,33700000.0,200000.0,0.051,0.011,0.0,0.0,Other,"A.Hermanne,ET.AL. (15)   ",D4324,11,No Pointer,76,"76-OS-0(P,X)76-OS-185,IND,SIG",Excitation functions of proton induced reactions on natOs up to 65 MeV: Experiments and comparison with results from theoretical codes,2015,A.Hermanne+,2BLGVUB,2015/03/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.345, p.58, 2015",D4324011,D4324,"(J,NIM/B,345,58,2015)",1,1,0,190Os,Os,114,190,N,7.186121348681038,0.1113257014713277,Other,-37551.478,0.6545000000000001,7956.336,0.003,-820.3285000000001,1.177,190230000.0,0.7020000000000001,13632.12,0.345,14986.745,21.55,1229.855,1.1749999999999998,-1049.135,2.235,-9840.525,39.895,-8021.23,6.885,6775.535,0.15,8033.014999999999,39.505,-6570.18,19.105,11657.255,4.324999999999999,7429.22,0.49,7380.815,2.105,-8033.014999999999,-6775.535,-14413.8389,-12189.2729,-12384.6449,-13196.8044,-14986.745,-13632.12,1229.855,-1602.675,-8033.014999999999,-6775.535,-4550.969,-8803.5765,-5150.325099999998,-6695.798500000003,-9058.1785,-8033.014999999999,-5808.4490000000005,-6775.535,-5932.0439000000015,-7268.7046,-518.3059999999997,-2539.5406000000003,-838.9205,13802.0844,11780.8499
122234,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,33000000.0,1000000.0,0.039,0.008,0.0,0.0,Other,"A.Hermanne,ET.AL. (15)   ",D4324,11,No Pointer,76,"76-OS-0(P,X)76-OS-185,IND,SIG",Excitation functions of proton induced reactions on natOs up to 65 MeV: Experiments and comparison with results from theoretical codes,2015,A.Hermanne+,2BLGVUB,2015/03/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.345, p.58, 2015",D4324011,D4324,"(J,NIM/B,345,58,2015)",1,1,0,190Os,Os,114,190,N,7.186121348681038,0.1113257014713277,Other,-37551.478,0.6545000000000001,7956.336,0.003,-820.3285000000001,1.177,190230000.0,0.7020000000000001,13632.12,0.345,14986.745,21.55,1229.855,1.1749999999999998,-1049.135,2.235,-9840.525,39.895,-8021.23,6.885,6775.535,0.15,8033.014999999999,39.505,-6570.18,19.105,11657.255,4.324999999999999,7429.22,0.49,7380.815,2.105,-8033.014999999999,-6775.535,-14413.8389,-12189.2729,-12384.6449,-13196.8044,-14986.745,-13632.12,1229.855,-1602.675,-8033.014999999999,-6775.535,-4550.969,-8803.5765,-5150.325099999998,-6695.798500000003,-9058.1785,-8033.014999999999,-5808.4490000000005,-6775.535,-5932.0439000000015,-7268.7046,-518.3059999999997,-2539.5406000000003,-838.9205,13802.0844,11780.8499
122235,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,32500000.0,200000.0,0.049,0.01,0.0,0.0,Other,"A.Hermanne,ET.AL. (15)   ",D4324,11,No Pointer,76,"76-OS-0(P,X)76-OS-185,IND,SIG",Excitation functions of proton induced reactions on natOs up to 65 MeV: Experiments and comparison with results from theoretical codes,2015,A.Hermanne+,2BLGVUB,2015/03/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.345, p.58, 2015",D4324011,D4324,"(J,NIM/B,345,58,2015)",1,1,0,190Os,Os,114,190,N,7.186121348681038,0.1113257014713277,Other,-37551.478,0.6545000000000001,7956.336,0.003,-820.3285000000001,1.177,190230000.0,0.7020000000000001,13632.12,0.345,14986.745,21.55,1229.855,1.1749999999999998,-1049.135,2.235,-9840.525,39.895,-8021.23,6.885,6775.535,0.15,8033.014999999999,39.505,-6570.18,19.105,11657.255,4.324999999999999,7429.22,0.49,7380.815,2.105,-8033.014999999999,-6775.535,-14413.8389,-12189.2729,-12384.6449,-13196.8044,-14986.745,-13632.12,1229.855,-1602.675,-8033.014999999999,-6775.535,-4550.969,-8803.5765,-5150.325099999998,-6695.798500000003,-9058.1785,-8033.014999999999,-5808.4490000000005,-6775.535,-5932.0439000000015,-7268.7046,-518.3059999999997,-2539.5406000000003,-838.9205,13802.0844,11780.8499
122236,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,31300000.0,300000.0,0.053,0.011,0.0,0.0,Other,"A.Hermanne,ET.AL. (15)   ",D4324,11,No Pointer,76,"76-OS-0(P,X)76-OS-185,IND,SIG",Excitation functions of proton induced reactions on natOs up to 65 MeV: Experiments and comparison with results from theoretical codes,2015,A.Hermanne+,2BLGVUB,2015/03/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.345, p.58, 2015",D4324011,D4324,"(J,NIM/B,345,58,2015)",1,1,0,190Os,Os,114,190,N,7.186121348681038,0.1113257014713277,Other,-37551.478,0.6545000000000001,7956.336,0.003,-820.3285000000001,1.177,190230000.0,0.7020000000000001,13632.12,0.345,14986.745,21.55,1229.855,1.1749999999999998,-1049.135,2.235,-9840.525,39.895,-8021.23,6.885,6775.535,0.15,8033.014999999999,39.505,-6570.18,19.105,11657.255,4.324999999999999,7429.22,0.49,7380.815,2.105,-8033.014999999999,-6775.535,-14413.8389,-12189.2729,-12384.6449,-13196.8044,-14986.745,-13632.12,1229.855,-1602.675,-8033.014999999999,-6775.535,-4550.969,-8803.5765,-5150.325099999998,-6695.798500000003,-9058.1785,-8033.014999999999,-5808.4490000000005,-6775.535,-5932.0439000000015,-7268.7046,-518.3059999999997,-2539.5406000000003,-838.9205,13802.0844,11780.8499
122237,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,30500000.0,1100000.0,0.044,0.009,0.0,0.0,Other,"A.Hermanne,ET.AL. (15)   ",D4324,11,No Pointer,76,"76-OS-0(P,X)76-OS-185,IND,SIG",Excitation functions of proton induced reactions on natOs up to 65 MeV: Experiments and comparison with results from theoretical codes,2015,A.Hermanne+,2BLGVUB,2015/03/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.345, p.58, 2015",D4324011,D4324,"(J,NIM/B,345,58,2015)",1,1,0,190Os,Os,114,190,N,7.186121348681038,0.1113257014713277,Other,-37551.478,0.6545000000000001,7956.336,0.003,-820.3285000000001,1.177,190230000.0,0.7020000000000001,13632.12,0.345,14986.745,21.55,1229.855,1.1749999999999998,-1049.135,2.235,-9840.525,39.895,-8021.23,6.885,6775.535,0.15,8033.014999999999,39.505,-6570.18,19.105,11657.255,4.324999999999999,7429.22,0.49,7380.815,2.105,-8033.014999999999,-6775.535,-14413.8389,-12189.2729,-12384.6449,-13196.8044,-14986.745,-13632.12,1229.855,-1602.675,-8033.014999999999,-6775.535,-4550.969,-8803.5765,-5150.325099999998,-6695.798500000003,-9058.1785,-8033.014999999999,-5808.4490000000005,-6775.535,-5932.0439000000015,-7268.7046,-518.3059999999997,-2539.5406000000003,-838.9205,13802.0844,11780.8499
122238,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,30000000.0,300000.0,0.036,0.008,0.0,0.0,Other,"A.Hermanne,ET.AL. (15)   ",D4324,11,No Pointer,76,"76-OS-0(P,X)76-OS-185,IND,SIG",Excitation functions of proton induced reactions on natOs up to 65 MeV: Experiments and comparison with results from theoretical codes,2015,A.Hermanne+,2BLGVUB,2015/03/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.345, p.58, 2015",D4324011,D4324,"(J,NIM/B,345,58,2015)",1,1,0,190Os,Os,114,190,N,7.186121348681038,0.1113257014713277,Other,-37551.478,0.6545000000000001,7956.336,0.003,-820.3285000000001,1.177,190230000.0,0.7020000000000001,13632.12,0.345,14986.745,21.55,1229.855,1.1749999999999998,-1049.135,2.235,-9840.525,39.895,-8021.23,6.885,6775.535,0.15,8033.014999999999,39.505,-6570.18,19.105,11657.255,4.324999999999999,7429.22,0.49,7380.815,2.105,-8033.014999999999,-6775.535,-14413.8389,-12189.2729,-12384.6449,-13196.8044,-14986.745,-13632.12,1229.855,-1602.675,-8033.014999999999,-6775.535,-4550.969,-8803.5765,-5150.325099999998,-6695.798500000003,-9058.1785,-8033.014999999999,-5808.4490000000005,-6775.535,-5932.0439000000015,-7268.7046,-518.3059999999997,-2539.5406000000003,-838.9205,13802.0844,11780.8499
122239,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,28700000.0,400000.0,0.018,0.004,0.0,0.0,Other,"A.Hermanne,ET.AL. (15)   ",D4324,11,No Pointer,76,"76-OS-0(P,X)76-OS-185,IND,SIG",Excitation functions of proton induced reactions on natOs up to 65 MeV: Experiments and comparison with results from theoretical codes,2015,A.Hermanne+,2BLGVUB,2015/03/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.345, p.58, 2015",D4324011,D4324,"(J,NIM/B,345,58,2015)",1,1,0,190Os,Os,114,190,N,7.186121348681038,0.1113257014713277,Other,-37551.478,0.6545000000000001,7956.336,0.003,-820.3285000000001,1.177,190230000.0,0.7020000000000001,13632.12,0.345,14986.745,21.55,1229.855,1.1749999999999998,-1049.135,2.235,-9840.525,39.895,-8021.23,6.885,6775.535,0.15,8033.014999999999,39.505,-6570.18,19.105,11657.255,4.324999999999999,7429.22,0.49,7380.815,2.105,-8033.014999999999,-6775.535,-14413.8389,-12189.2729,-12384.6449,-13196.8044,-14986.745,-13632.12,1229.855,-1602.675,-8033.014999999999,-6775.535,-4550.969,-8803.5765,-5150.325099999998,-6695.798500000003,-9058.1785,-8033.014999999999,-5808.4490000000005,-6775.535,-5932.0439000000015,-7268.7046,-518.3059999999997,-2539.5406000000003,-838.9205,13802.0844,11780.8499
122240,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,27700000.0,1200000.0,0.038,0.008,0.0,0.0,Other,"A.Hermanne,ET.AL. (15)   ",D4324,11,No Pointer,76,"76-OS-0(P,X)76-OS-185,IND,SIG",Excitation functions of proton induced reactions on natOs up to 65 MeV: Experiments and comparison with results from theoretical codes,2015,A.Hermanne+,2BLGVUB,2015/03/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.345, p.58, 2015",D4324011,D4324,"(J,NIM/B,345,58,2015)",1,1,0,190Os,Os,114,190,N,7.186121348681038,0.1113257014713277,Other,-37551.478,0.6545000000000001,7956.336,0.003,-820.3285000000001,1.177,190230000.0,0.7020000000000001,13632.12,0.345,14986.745,21.55,1229.855,1.1749999999999998,-1049.135,2.235,-9840.525,39.895,-8021.23,6.885,6775.535,0.15,8033.014999999999,39.505,-6570.18,19.105,11657.255,4.324999999999999,7429.22,0.49,7380.815,2.105,-8033.014999999999,-6775.535,-14413.8389,-12189.2729,-12384.6449,-13196.8044,-14986.745,-13632.12,1229.855,-1602.675,-8033.014999999999,-6775.535,-4550.969,-8803.5765,-5150.325099999998,-6695.798500000003,-9058.1785,-8033.014999999999,-5808.4490000000005,-6775.535,-5932.0439000000015,-7268.7046,-518.3059999999997,-2539.5406000000003,-838.9205,13802.0844,11780.8499
122241,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,27400000.0,400000.0,0.019,0.004,0.0,0.0,Other,"A.Hermanne,ET.AL. (15)   ",D4324,11,No Pointer,76,"76-OS-0(P,X)76-OS-185,IND,SIG",Excitation functions of proton induced reactions on natOs up to 65 MeV: Experiments and comparison with results from theoretical codes,2015,A.Hermanne+,2BLGVUB,2015/03/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.345, p.58, 2015",D4324011,D4324,"(J,NIM/B,345,58,2015)",1,1,0,190Os,Os,114,190,N,7.186121348681038,0.1113257014713277,Other,-37551.478,0.6545000000000001,7956.336,0.003,-820.3285000000001,1.177,190230000.0,0.7020000000000001,13632.12,0.345,14986.745,21.55,1229.855,1.1749999999999998,-1049.135,2.235,-9840.525,39.895,-8021.23,6.885,6775.535,0.15,8033.014999999999,39.505,-6570.18,19.105,11657.255,4.324999999999999,7429.22,0.49,7380.815,2.105,-8033.014999999999,-6775.535,-14413.8389,-12189.2729,-12384.6449,-13196.8044,-14986.745,-13632.12,1229.855,-1602.675,-8033.014999999999,-6775.535,-4550.969,-8803.5765,-5150.325099999998,-6695.798500000003,-9058.1785,-8033.014999999999,-5808.4490000000005,-6775.535,-5932.0439000000015,-7268.7046,-518.3059999999997,-2539.5406000000003,-838.9205,13802.0844,11780.8499
122242,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,26000000.0,500000.0,0.028,0.006,0.0,0.0,Other,"A.Hermanne,ET.AL. (15)   ",D4324,11,No Pointer,76,"76-OS-0(P,X)76-OS-185,IND,SIG",Excitation functions of proton induced reactions on natOs up to 65 MeV: Experiments and comparison with results from theoretical codes,2015,A.Hermanne+,2BLGVUB,2015/03/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.345, p.58, 2015",D4324011,D4324,"(J,NIM/B,345,58,2015)",1,1,0,190Os,Os,114,190,N,7.186121348681038,0.1113257014713277,Other,-37551.478,0.6545000000000001,7956.336,0.003,-820.3285000000001,1.177,190230000.0,0.7020000000000001,13632.12,0.345,14986.745,21.55,1229.855,1.1749999999999998,-1049.135,2.235,-9840.525,39.895,-8021.23,6.885,6775.535,0.15,8033.014999999999,39.505,-6570.18,19.105,11657.255,4.324999999999999,7429.22,0.49,7380.815,2.105,-8033.014999999999,-6775.535,-14413.8389,-12189.2729,-12384.6449,-13196.8044,-14986.745,-13632.12,1229.855,-1602.675,-8033.014999999999,-6775.535,-4550.969,-8803.5765,-5150.325099999998,-6695.798500000003,-9058.1785,-8033.014999999999,-5808.4490000000005,-6775.535,-5932.0439000000015,-7268.7046,-518.3059999999997,-2539.5406000000003,-838.9205,13802.0844,11780.8499
122243,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,25000000.0,600000.0,0.032,0.007,0.0,0.0,Other,"A.Hermanne,ET.AL. (15)   ",D4324,11,No Pointer,76,"76-OS-0(P,X)76-OS-185,IND,SIG",Excitation functions of proton induced reactions on natOs up to 65 MeV: Experiments and comparison with results from theoretical codes,2015,A.Hermanne+,2BLGVUB,2015/03/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.345, p.58, 2015",D4324011,D4324,"(J,NIM/B,345,58,2015)",1,1,0,190Os,Os,114,190,N,7.186121348681038,0.1113257014713277,Other,-37551.478,0.6545000000000001,7956.336,0.003,-820.3285000000001,1.177,190230000.0,0.7020000000000001,13632.12,0.345,14986.745,21.55,1229.855,1.1749999999999998,-1049.135,2.235,-9840.525,39.895,-8021.23,6.885,6775.535,0.15,8033.014999999999,39.505,-6570.18,19.105,11657.255,4.324999999999999,7429.22,0.49,7380.815,2.105,-8033.014999999999,-6775.535,-14413.8389,-12189.2729,-12384.6449,-13196.8044,-14986.745,-13632.12,1229.855,-1602.675,-8033.014999999999,-6775.535,-4550.969,-8803.5765,-5150.325099999998,-6695.798500000003,-9058.1785,-8033.014999999999,-5808.4490000000005,-6775.535,-5932.0439000000015,-7268.7046,-518.3059999999997,-2539.5406000000003,-838.9205,13802.0844,11780.8499
122244,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,24000000.0,600000.0,0.017,0.003,0.0,0.0,Other,"A.Hermanne,ET.AL. (15)   ",D4324,11,No Pointer,76,"76-OS-0(P,X)76-OS-185,IND,SIG",Excitation functions of proton induced reactions on natOs up to 65 MeV: Experiments and comparison with results from theoretical codes,2015,A.Hermanne+,2BLGVUB,2015/03/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.345, p.58, 2015",D4324011,D4324,"(J,NIM/B,345,58,2015)",1,1,0,190Os,Os,114,190,N,7.186121348681038,0.1113257014713277,Other,-37551.478,0.6545000000000001,7956.336,0.003,-820.3285000000001,1.177,190230000.0,0.7020000000000001,13632.12,0.345,14986.745,21.55,1229.855,1.1749999999999998,-1049.135,2.235,-9840.525,39.895,-8021.23,6.885,6775.535,0.15,8033.014999999999,39.505,-6570.18,19.105,11657.255,4.324999999999999,7429.22,0.49,7380.815,2.105,-8033.014999999999,-6775.535,-14413.8389,-12189.2729,-12384.6449,-13196.8044,-14986.745,-13632.12,1229.855,-1602.675,-8033.014999999999,-6775.535,-4550.969,-8803.5765,-5150.325099999998,-6695.798500000003,-9058.1785,-8033.014999999999,-5808.4490000000005,-6775.535,-5932.0439000000015,-7268.7046,-518.3059999999997,-2539.5406000000003,-838.9205,13802.0844,11780.8499
