,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
122608,proton,All_or_Total,9001,Ground,Other,Lab,42100000.0,1700000.0,0.0899,0.0106,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (05)   ",D4161,5,2,77,"77-IR-0(P,X)77-IR-192-G,CUM,SIG,,,EXP",Activation cross sections of proton induced nuclear reactions on iridium,2005,F.Tarkanyi+,3HUNDEB,2005/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.239, p.293, 2005",D41610052,D4161,"(J,NIM/B,239,293,2005)",1,1,0,192Ir,Ir,115,192,N,7.211247851537042,0.1109378038961015,Other,-35772.158500000005,1.3125,7943.556,0.0069999999999999,221.18899999999985,2.955,192217000.0,1.408,14313.225,6.475,13542.66,39.55,1919.57,1.245,-2487.15,10.44,-8068.07,40.57,-7341.13,2.425,7112.325,0.255,5509.655000000001,1.15,-9694.56,19.58,13785.91,1.1549999999999998,9153.885,1.2,8372.17,4.745,-5509.655000000001,-7112.325,-12285.1839,-10060.6179,-10659.9799,-12205.4494,-13542.66,-14313.225,1919.57,-561.1575,-5509.655000000001,-7112.325,-4887.759,-8123.476500000001,-5831.430099999999,-4567.143500000002,-7285.7235,-5509.655000000001,-3285.0890000000004,-7112.325,-3803.388900000001,-5824.6196,-855.0959999999995,-16.18060000000017,202.597,13465.2944,14304.2099
122609,proton,All_or_Total,9001,Ground,Other,Lab,45000000.0,1500000.0,0.0837,0.0099,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (05)   ",D4161,5,2,77,"77-IR-0(P,X)77-IR-192-G,CUM,SIG,,,EXP",Activation cross sections of proton induced nuclear reactions on iridium,2005,F.Tarkanyi+,3HUNDEB,2005/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.239, p.293, 2005",D41610052,D4161,"(J,NIM/B,239,293,2005)",1,1,0,192Ir,Ir,115,192,N,7.211247851537042,0.1109378038961015,Other,-35772.158500000005,1.3125,7943.556,0.0069999999999999,221.18899999999985,2.955,192217000.0,1.408,14313.225,6.475,13542.66,39.55,1919.57,1.245,-2487.15,10.44,-8068.07,40.57,-7341.13,2.425,7112.325,0.255,5509.655000000001,1.15,-9694.56,19.58,13785.91,1.1549999999999998,9153.885,1.2,8372.17,4.745,-5509.655000000001,-7112.325,-12285.1839,-10060.6179,-10659.9799,-12205.4494,-13542.66,-14313.225,1919.57,-561.1575,-5509.655000000001,-7112.325,-4887.759,-8123.476500000001,-5831.430099999999,-4567.143500000002,-7285.7235,-5509.655000000001,-3285.0890000000004,-7112.325,-3803.388900000001,-5824.6196,-855.0959999999995,-16.18060000000017,202.597,13465.2944,14304.2099
122610,proton,All_or_Total,9001,Ground,Other,Lab,47500000.0,1400000.0,0.08,0.0095,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (05)   ",D4161,5,2,77,"77-IR-0(P,X)77-IR-192-G,CUM,SIG,,,EXP",Activation cross sections of proton induced nuclear reactions on iridium,2005,F.Tarkanyi+,3HUNDEB,2005/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.239, p.293, 2005",D41610052,D4161,"(J,NIM/B,239,293,2005)",1,1,0,192Ir,Ir,115,192,N,7.211247851537042,0.1109378038961015,Other,-35772.158500000005,1.3125,7943.556,0.0069999999999999,221.18899999999985,2.955,192217000.0,1.408,14313.225,6.475,13542.66,39.55,1919.57,1.245,-2487.15,10.44,-8068.07,40.57,-7341.13,2.425,7112.325,0.255,5509.655000000001,1.15,-9694.56,19.58,13785.91,1.1549999999999998,9153.885,1.2,8372.17,4.745,-5509.655000000001,-7112.325,-12285.1839,-10060.6179,-10659.9799,-12205.4494,-13542.66,-14313.225,1919.57,-561.1575,-5509.655000000001,-7112.325,-4887.759,-8123.476500000001,-5831.430099999999,-4567.143500000002,-7285.7235,-5509.655000000001,-3285.0890000000004,-7112.325,-3803.388900000001,-5824.6196,-855.0959999999995,-16.18060000000017,202.597,13465.2944,14304.2099
122611,proton,All_or_Total,9001,Ground,Other,Lab,47800000.0,1400000.0,0.0852,0.01,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (05)   ",D4161,5,2,77,"77-IR-0(P,X)77-IR-192-G,CUM,SIG,,,EXP",Activation cross sections of proton induced nuclear reactions on iridium,2005,F.Tarkanyi+,3HUNDEB,2005/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.239, p.293, 2005",D41610052,D4161,"(J,NIM/B,239,293,2005)",1,1,0,192Ir,Ir,115,192,N,7.211247851537042,0.1109378038961015,Other,-35772.158500000005,1.3125,7943.556,0.0069999999999999,221.18899999999985,2.955,192217000.0,1.408,14313.225,6.475,13542.66,39.55,1919.57,1.245,-2487.15,10.44,-8068.07,40.57,-7341.13,2.425,7112.325,0.255,5509.655000000001,1.15,-9694.56,19.58,13785.91,1.1549999999999998,9153.885,1.2,8372.17,4.745,-5509.655000000001,-7112.325,-12285.1839,-10060.6179,-10659.9799,-12205.4494,-13542.66,-14313.225,1919.57,-561.1575,-5509.655000000001,-7112.325,-4887.759,-8123.476500000001,-5831.430099999999,-4567.143500000002,-7285.7235,-5509.655000000001,-3285.0890000000004,-7112.325,-3803.388900000001,-5824.6196,-855.0959999999995,-16.18060000000017,202.597,13465.2944,14304.2099
122612,proton,All_or_Total,9001,Ground,Other,Lab,50500000.0,1200000.0,0.0753,0.009,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (05)   ",D4161,5,2,77,"77-IR-0(P,X)77-IR-192-G,CUM,SIG,,,EXP",Activation cross sections of proton induced nuclear reactions on iridium,2005,F.Tarkanyi+,3HUNDEB,2005/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.239, p.293, 2005",D41610052,D4161,"(J,NIM/B,239,293,2005)",1,1,0,192Ir,Ir,115,192,N,7.211247851537042,0.1109378038961015,Other,-35772.158500000005,1.3125,7943.556,0.0069999999999999,221.18899999999985,2.955,192217000.0,1.408,14313.225,6.475,13542.66,39.55,1919.57,1.245,-2487.15,10.44,-8068.07,40.57,-7341.13,2.425,7112.325,0.255,5509.655000000001,1.15,-9694.56,19.58,13785.91,1.1549999999999998,9153.885,1.2,8372.17,4.745,-5509.655000000001,-7112.325,-12285.1839,-10060.6179,-10659.9799,-12205.4494,-13542.66,-14313.225,1919.57,-561.1575,-5509.655000000001,-7112.325,-4887.759,-8123.476500000001,-5831.430099999999,-4567.143500000002,-7285.7235,-5509.655000000001,-3285.0890000000004,-7112.325,-3803.388900000001,-5824.6196,-855.0959999999995,-16.18060000000017,202.597,13465.2944,14304.2099
122613,proton,All_or_Total,9001,Ground,Other,Lab,53000000.0,1100000.0,0.0817,0.0095,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (05)   ",D4161,5,2,77,"77-IR-0(P,X)77-IR-192-G,CUM,SIG,,,EXP",Activation cross sections of proton induced nuclear reactions on iridium,2005,F.Tarkanyi+,3HUNDEB,2005/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.239, p.293, 2005",D41610052,D4161,"(J,NIM/B,239,293,2005)",1,1,0,192Ir,Ir,115,192,N,7.211247851537042,0.1109378038961015,Other,-35772.158500000005,1.3125,7943.556,0.0069999999999999,221.18899999999985,2.955,192217000.0,1.408,14313.225,6.475,13542.66,39.55,1919.57,1.245,-2487.15,10.44,-8068.07,40.57,-7341.13,2.425,7112.325,0.255,5509.655000000001,1.15,-9694.56,19.58,13785.91,1.1549999999999998,9153.885,1.2,8372.17,4.745,-5509.655000000001,-7112.325,-12285.1839,-10060.6179,-10659.9799,-12205.4494,-13542.66,-14313.225,1919.57,-561.1575,-5509.655000000001,-7112.325,-4887.759,-8123.476500000001,-5831.430099999999,-4567.143500000002,-7285.7235,-5509.655000000001,-3285.0890000000004,-7112.325,-3803.388900000001,-5824.6196,-855.0959999999995,-16.18060000000017,202.597,13465.2944,14304.2099
122614,proton,All_or_Total,9001,Ground,Other,Lab,54800000.0,1000000.0,0.0762,0.0092,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (05)   ",D4161,5,2,77,"77-IR-0(P,X)77-IR-192-G,CUM,SIG,,,EXP",Activation cross sections of proton induced nuclear reactions on iridium,2005,F.Tarkanyi+,3HUNDEB,2005/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.239, p.293, 2005",D41610052,D4161,"(J,NIM/B,239,293,2005)",1,1,0,192Ir,Ir,115,192,N,7.211247851537042,0.1109378038961015,Other,-35772.158500000005,1.3125,7943.556,0.0069999999999999,221.18899999999985,2.955,192217000.0,1.408,14313.225,6.475,13542.66,39.55,1919.57,1.245,-2487.15,10.44,-8068.07,40.57,-7341.13,2.425,7112.325,0.255,5509.655000000001,1.15,-9694.56,19.58,13785.91,1.1549999999999998,9153.885,1.2,8372.17,4.745,-5509.655000000001,-7112.325,-12285.1839,-10060.6179,-10659.9799,-12205.4494,-13542.66,-14313.225,1919.57,-561.1575,-5509.655000000001,-7112.325,-4887.759,-8123.476500000001,-5831.430099999999,-4567.143500000002,-7285.7235,-5509.655000000001,-3285.0890000000004,-7112.325,-3803.388900000001,-5824.6196,-855.0959999999995,-16.18060000000017,202.597,13465.2944,14304.2099
122615,proton,All_or_Total,9001,Ground,Other,Lab,55500000.0,1000000.0,0.0776,0.0112,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (05)   ",D4161,5,2,77,"77-IR-0(P,X)77-IR-192-G,CUM,SIG,,,EXP",Activation cross sections of proton induced nuclear reactions on iridium,2005,F.Tarkanyi+,3HUNDEB,2005/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.239, p.293, 2005",D41610052,D4161,"(J,NIM/B,239,293,2005)",1,1,0,192Ir,Ir,115,192,N,7.211247851537042,0.1109378038961015,Other,-35772.158500000005,1.3125,7943.556,0.0069999999999999,221.18899999999985,2.955,192217000.0,1.408,14313.225,6.475,13542.66,39.55,1919.57,1.245,-2487.15,10.44,-8068.07,40.57,-7341.13,2.425,7112.325,0.255,5509.655000000001,1.15,-9694.56,19.58,13785.91,1.1549999999999998,9153.885,1.2,8372.17,4.745,-5509.655000000001,-7112.325,-12285.1839,-10060.6179,-10659.9799,-12205.4494,-13542.66,-14313.225,1919.57,-561.1575,-5509.655000000001,-7112.325,-4887.759,-8123.476500000001,-5831.430099999999,-4567.143500000002,-7285.7235,-5509.655000000001,-3285.0890000000004,-7112.325,-3803.388900000001,-5824.6196,-855.0959999999995,-16.18060000000017,202.597,13465.2944,14304.2099
122616,proton,All_or_Total,9001,Ground,Other,Lab,57900000.0,1000000.0,0.0691,0.0082,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (05)   ",D4161,5,2,77,"77-IR-0(P,X)77-IR-192-G,CUM,SIG,,,EXP",Activation cross sections of proton induced nuclear reactions on iridium,2005,F.Tarkanyi+,3HUNDEB,2005/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.239, p.293, 2005",D41610052,D4161,"(J,NIM/B,239,293,2005)",1,1,0,192Ir,Ir,115,192,N,7.211247851537042,0.1109378038961015,Other,-35772.158500000005,1.3125,7943.556,0.0069999999999999,221.18899999999985,2.955,192217000.0,1.408,14313.225,6.475,13542.66,39.55,1919.57,1.245,-2487.15,10.44,-8068.07,40.57,-7341.13,2.425,7112.325,0.255,5509.655000000001,1.15,-9694.56,19.58,13785.91,1.1549999999999998,9153.885,1.2,8372.17,4.745,-5509.655000000001,-7112.325,-12285.1839,-10060.6179,-10659.9799,-12205.4494,-13542.66,-14313.225,1919.57,-561.1575,-5509.655000000001,-7112.325,-4887.759,-8123.476500000001,-5831.430099999999,-4567.143500000002,-7285.7235,-5509.655000000001,-3285.0890000000004,-7112.325,-3803.388900000001,-5824.6196,-855.0959999999995,-16.18060000000017,202.597,13465.2944,14304.2099
122617,proton,All_or_Total,9001,Ground,Other,Lab,61300000.0,800000.0,0.0697,0.0083,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (05)   ",D4161,5,2,77,"77-IR-0(P,X)77-IR-192-G,CUM,SIG,,,EXP",Activation cross sections of proton induced nuclear reactions on iridium,2005,F.Tarkanyi+,3HUNDEB,2005/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.239, p.293, 2005",D41610052,D4161,"(J,NIM/B,239,293,2005)",1,1,0,192Ir,Ir,115,192,N,7.211247851537042,0.1109378038961015,Other,-35772.158500000005,1.3125,7943.556,0.0069999999999999,221.18899999999985,2.955,192217000.0,1.408,14313.225,6.475,13542.66,39.55,1919.57,1.245,-2487.15,10.44,-8068.07,40.57,-7341.13,2.425,7112.325,0.255,5509.655000000001,1.15,-9694.56,19.58,13785.91,1.1549999999999998,9153.885,1.2,8372.17,4.745,-5509.655000000001,-7112.325,-12285.1839,-10060.6179,-10659.9799,-12205.4494,-13542.66,-14313.225,1919.57,-561.1575,-5509.655000000001,-7112.325,-4887.759,-8123.476500000001,-5831.430099999999,-4567.143500000002,-7285.7235,-5509.655000000001,-3285.0890000000004,-7112.325,-3803.388900000001,-5824.6196,-855.0959999999995,-16.18060000000017,202.597,13465.2944,14304.2099
122618,proton,All_or_Total,9001,Ground,Other,Lab,63200000.0,600000.0,0.0732,0.0086,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (05)   ",D4161,5,2,77,"77-IR-0(P,X)77-IR-192-G,CUM,SIG,,,EXP",Activation cross sections of proton induced nuclear reactions on iridium,2005,F.Tarkanyi+,3HUNDEB,2005/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.239, p.293, 2005",D41610052,D4161,"(J,NIM/B,239,293,2005)",1,1,0,192Ir,Ir,115,192,N,7.211247851537042,0.1109378038961015,Other,-35772.158500000005,1.3125,7943.556,0.0069999999999999,221.18899999999985,2.955,192217000.0,1.408,14313.225,6.475,13542.66,39.55,1919.57,1.245,-2487.15,10.44,-8068.07,40.57,-7341.13,2.425,7112.325,0.255,5509.655000000001,1.15,-9694.56,19.58,13785.91,1.1549999999999998,9153.885,1.2,8372.17,4.745,-5509.655000000001,-7112.325,-12285.1839,-10060.6179,-10659.9799,-12205.4494,-13542.66,-14313.225,1919.57,-561.1575,-5509.655000000001,-7112.325,-4887.759,-8123.476500000001,-5831.430099999999,-4567.143500000002,-7285.7235,-5509.655000000001,-3285.0890000000004,-7112.325,-3803.388900000001,-5824.6196,-855.0959999999995,-16.18060000000017,202.597,13465.2944,14304.2099
122619,proton,All_or_Total,9001,Ground,Other,Lab,66400000.0,400000.0,0.0716,0.0084,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (05)   ",D4161,5,2,77,"77-IR-0(P,X)77-IR-192-G,CUM,SIG,,,EXP",Activation cross sections of proton induced nuclear reactions on iridium,2005,F.Tarkanyi+,3HUNDEB,2005/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.239, p.293, 2005",D41610052,D4161,"(J,NIM/B,239,293,2005)",1,1,0,192Ir,Ir,115,192,N,7.211247851537042,0.1109378038961015,Other,-35772.158500000005,1.3125,7943.556,0.0069999999999999,221.18899999999985,2.955,192217000.0,1.408,14313.225,6.475,13542.66,39.55,1919.57,1.245,-2487.15,10.44,-8068.07,40.57,-7341.13,2.425,7112.325,0.255,5509.655000000001,1.15,-9694.56,19.58,13785.91,1.1549999999999998,9153.885,1.2,8372.17,4.745,-5509.655000000001,-7112.325,-12285.1839,-10060.6179,-10659.9799,-12205.4494,-13542.66,-14313.225,1919.57,-561.1575,-5509.655000000001,-7112.325,-4887.759,-8123.476500000001,-5831.430099999999,-4567.143500000002,-7285.7235,-5509.655000000001,-3285.0890000000004,-7112.325,-3803.388900000001,-5824.6196,-855.0959999999995,-16.18060000000017,202.597,13465.2944,14304.2099
122620,proton,All_or_Total,9001,Ground,Other,Lab,15800000.0,1600000.0,0.0026,0.0005,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (05)   ",D4161,4,1,77,"77-IR-0(P,X)77-IR-186-G,CUM,SIG,,,EXP",Activation cross sections of proton induced nuclear reactions on iridium,2005,F.Tarkanyi+,3HUNDEB,2005/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.239, p.293, 2005",D41610041,D4161,"(J,NIM/B,239,293,2005)",1,1,0,192Ir,Ir,115,192,N,7.211247851537042,0.1109378038961015,Other,-35772.158500000005,1.3125,7943.556,0.0069999999999999,221.18899999999985,2.955,192217000.0,1.408,14313.225,6.475,13542.66,39.55,1919.57,1.245,-2487.15,10.44,-8068.07,40.57,-7341.13,2.425,7112.325,0.255,5509.655000000001,1.15,-9694.56,19.58,13785.91,1.1549999999999998,9153.885,1.2,8372.17,4.745,-5509.655000000001,-7112.325,-12285.1839,-10060.6179,-10659.9799,-12205.4494,-13542.66,-14313.225,1919.57,-561.1575,-5509.655000000001,-7112.325,-4887.759,-8123.476500000001,-5831.430099999999,-4567.143500000002,-7285.7235,-5509.655000000001,-3285.0890000000004,-7112.325,-3803.388900000001,-5824.6196,-855.0959999999995,-16.18060000000017,202.597,13465.2944,14304.2099
122621,proton,All_or_Total,9001,Ground,Other,Lab,47500000.0,1400000.0,0.0026,0.0013,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (05)   ",D4161,4,1,77,"77-IR-0(P,X)77-IR-186-G,CUM,SIG,,,EXP",Activation cross sections of proton induced nuclear reactions on iridium,2005,F.Tarkanyi+,3HUNDEB,2005/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.239, p.293, 2005",D41610041,D4161,"(J,NIM/B,239,293,2005)",1,1,0,192Ir,Ir,115,192,N,7.211247851537042,0.1109378038961015,Other,-35772.158500000005,1.3125,7943.556,0.0069999999999999,221.18899999999985,2.955,192217000.0,1.408,14313.225,6.475,13542.66,39.55,1919.57,1.245,-2487.15,10.44,-8068.07,40.57,-7341.13,2.425,7112.325,0.255,5509.655000000001,1.15,-9694.56,19.58,13785.91,1.1549999999999998,9153.885,1.2,8372.17,4.745,-5509.655000000001,-7112.325,-12285.1839,-10060.6179,-10659.9799,-12205.4494,-13542.66,-14313.225,1919.57,-561.1575,-5509.655000000001,-7112.325,-4887.759,-8123.476500000001,-5831.430099999999,-4567.143500000002,-7285.7235,-5509.655000000001,-3285.0890000000004,-7112.325,-3803.388900000001,-5824.6196,-855.0959999999995,-16.18060000000017,202.597,13465.2944,14304.2099
122622,proton,All_or_Total,9001,Ground,Other,Lab,47800000.0,1400000.0,0.0026,0.0016,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (05)   ",D4161,4,1,77,"77-IR-0(P,X)77-IR-186-G,CUM,SIG,,,EXP",Activation cross sections of proton induced nuclear reactions on iridium,2005,F.Tarkanyi+,3HUNDEB,2005/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.239, p.293, 2005",D41610041,D4161,"(J,NIM/B,239,293,2005)",1,1,0,192Ir,Ir,115,192,N,7.211247851537042,0.1109378038961015,Other,-35772.158500000005,1.3125,7943.556,0.0069999999999999,221.18899999999985,2.955,192217000.0,1.408,14313.225,6.475,13542.66,39.55,1919.57,1.245,-2487.15,10.44,-8068.07,40.57,-7341.13,2.425,7112.325,0.255,5509.655000000001,1.15,-9694.56,19.58,13785.91,1.1549999999999998,9153.885,1.2,8372.17,4.745,-5509.655000000001,-7112.325,-12285.1839,-10060.6179,-10659.9799,-12205.4494,-13542.66,-14313.225,1919.57,-561.1575,-5509.655000000001,-7112.325,-4887.759,-8123.476500000001,-5831.430099999999,-4567.143500000002,-7285.7235,-5509.655000000001,-3285.0890000000004,-7112.325,-3803.388900000001,-5824.6196,-855.0959999999995,-16.18060000000017,202.597,13465.2944,14304.2099
122623,proton,All_or_Total,9001,Ground,Other,Lab,50500000.0,1200000.0,0.0147,0.0021,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (05)   ",D4161,4,1,77,"77-IR-0(P,X)77-IR-186-G,CUM,SIG,,,EXP",Activation cross sections of proton induced nuclear reactions on iridium,2005,F.Tarkanyi+,3HUNDEB,2005/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.239, p.293, 2005",D41610041,D4161,"(J,NIM/B,239,293,2005)",1,1,0,192Ir,Ir,115,192,N,7.211247851537042,0.1109378038961015,Other,-35772.158500000005,1.3125,7943.556,0.0069999999999999,221.18899999999985,2.955,192217000.0,1.408,14313.225,6.475,13542.66,39.55,1919.57,1.245,-2487.15,10.44,-8068.07,40.57,-7341.13,2.425,7112.325,0.255,5509.655000000001,1.15,-9694.56,19.58,13785.91,1.1549999999999998,9153.885,1.2,8372.17,4.745,-5509.655000000001,-7112.325,-12285.1839,-10060.6179,-10659.9799,-12205.4494,-13542.66,-14313.225,1919.57,-561.1575,-5509.655000000001,-7112.325,-4887.759,-8123.476500000001,-5831.430099999999,-4567.143500000002,-7285.7235,-5509.655000000001,-3285.0890000000004,-7112.325,-3803.388900000001,-5824.6196,-855.0959999999995,-16.18060000000017,202.597,13465.2944,14304.2099
122624,proton,All_or_Total,9001,Ground,Other,Lab,53000000.0,1100000.0,0.0339,0.0079,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (05)   ",D4161,4,1,77,"77-IR-0(P,X)77-IR-186-G,CUM,SIG,,,EXP",Activation cross sections of proton induced nuclear reactions on iridium,2005,F.Tarkanyi+,3HUNDEB,2005/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.239, p.293, 2005",D41610041,D4161,"(J,NIM/B,239,293,2005)",1,1,0,192Ir,Ir,115,192,N,7.211247851537042,0.1109378038961015,Other,-35772.158500000005,1.3125,7943.556,0.0069999999999999,221.18899999999985,2.955,192217000.0,1.408,14313.225,6.475,13542.66,39.55,1919.57,1.245,-2487.15,10.44,-8068.07,40.57,-7341.13,2.425,7112.325,0.255,5509.655000000001,1.15,-9694.56,19.58,13785.91,1.1549999999999998,9153.885,1.2,8372.17,4.745,-5509.655000000001,-7112.325,-12285.1839,-10060.6179,-10659.9799,-12205.4494,-13542.66,-14313.225,1919.57,-561.1575,-5509.655000000001,-7112.325,-4887.759,-8123.476500000001,-5831.430099999999,-4567.143500000002,-7285.7235,-5509.655000000001,-3285.0890000000004,-7112.325,-3803.388900000001,-5824.6196,-855.0959999999995,-16.18060000000017,202.597,13465.2944,14304.2099
122625,proton,All_or_Total,9001,Ground,Other,Lab,54800000.0,1000000.0,0.0426,0.0056,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (05)   ",D4161,4,1,77,"77-IR-0(P,X)77-IR-186-G,CUM,SIG,,,EXP",Activation cross sections of proton induced nuclear reactions on iridium,2005,F.Tarkanyi+,3HUNDEB,2005/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.239, p.293, 2005",D41610041,D4161,"(J,NIM/B,239,293,2005)",1,1,0,192Ir,Ir,115,192,N,7.211247851537042,0.1109378038961015,Other,-35772.158500000005,1.3125,7943.556,0.0069999999999999,221.18899999999985,2.955,192217000.0,1.408,14313.225,6.475,13542.66,39.55,1919.57,1.245,-2487.15,10.44,-8068.07,40.57,-7341.13,2.425,7112.325,0.255,5509.655000000001,1.15,-9694.56,19.58,13785.91,1.1549999999999998,9153.885,1.2,8372.17,4.745,-5509.655000000001,-7112.325,-12285.1839,-10060.6179,-10659.9799,-12205.4494,-13542.66,-14313.225,1919.57,-561.1575,-5509.655000000001,-7112.325,-4887.759,-8123.476500000001,-5831.430099999999,-4567.143500000002,-7285.7235,-5509.655000000001,-3285.0890000000004,-7112.325,-3803.388900000001,-5824.6196,-855.0959999999995,-16.18060000000017,202.597,13465.2944,14304.2099
122626,proton,All_or_Total,9001,Ground,Other,Lab,55500000.0,1000000.0,0.0499,0.0185,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (05)   ",D4161,4,1,77,"77-IR-0(P,X)77-IR-186-G,CUM,SIG,,,EXP",Activation cross sections of proton induced nuclear reactions on iridium,2005,F.Tarkanyi+,3HUNDEB,2005/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.239, p.293, 2005",D41610041,D4161,"(J,NIM/B,239,293,2005)",1,1,0,192Ir,Ir,115,192,N,7.211247851537042,0.1109378038961015,Other,-35772.158500000005,1.3125,7943.556,0.0069999999999999,221.18899999999985,2.955,192217000.0,1.408,14313.225,6.475,13542.66,39.55,1919.57,1.245,-2487.15,10.44,-8068.07,40.57,-7341.13,2.425,7112.325,0.255,5509.655000000001,1.15,-9694.56,19.58,13785.91,1.1549999999999998,9153.885,1.2,8372.17,4.745,-5509.655000000001,-7112.325,-12285.1839,-10060.6179,-10659.9799,-12205.4494,-13542.66,-14313.225,1919.57,-561.1575,-5509.655000000001,-7112.325,-4887.759,-8123.476500000001,-5831.430099999999,-4567.143500000002,-7285.7235,-5509.655000000001,-3285.0890000000004,-7112.325,-3803.388900000001,-5824.6196,-855.0959999999995,-16.18060000000017,202.597,13465.2944,14304.2099
122627,proton,All_or_Total,9001,Ground,Other,Lab,57900000.0,1000000.0,0.0602,0.012,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (05)   ",D4161,4,1,77,"77-IR-0(P,X)77-IR-186-G,CUM,SIG,,,EXP",Activation cross sections of proton induced nuclear reactions on iridium,2005,F.Tarkanyi+,3HUNDEB,2005/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.239, p.293, 2005",D41610041,D4161,"(J,NIM/B,239,293,2005)",1,1,0,192Ir,Ir,115,192,N,7.211247851537042,0.1109378038961015,Other,-35772.158500000005,1.3125,7943.556,0.0069999999999999,221.18899999999985,2.955,192217000.0,1.408,14313.225,6.475,13542.66,39.55,1919.57,1.245,-2487.15,10.44,-8068.07,40.57,-7341.13,2.425,7112.325,0.255,5509.655000000001,1.15,-9694.56,19.58,13785.91,1.1549999999999998,9153.885,1.2,8372.17,4.745,-5509.655000000001,-7112.325,-12285.1839,-10060.6179,-10659.9799,-12205.4494,-13542.66,-14313.225,1919.57,-561.1575,-5509.655000000001,-7112.325,-4887.759,-8123.476500000001,-5831.430099999999,-4567.143500000002,-7285.7235,-5509.655000000001,-3285.0890000000004,-7112.325,-3803.388900000001,-5824.6196,-855.0959999999995,-16.18060000000017,202.597,13465.2944,14304.2099
